fq,pc,prec,recall,f1_score,dimensions,count,pearson,rssi_base,time

simulazione_1

range 50
1, 1, 0.9993849938499385, 0.9963212752912324, 0.9978507829290758, True,     False, False, False, True
1, 1, 0.9929846938775511, 0.9599260172626387, 0.9761755485893417, True,     False, False, True, False
1, 1, 0.9993597951344431, 0.9570815450643777, 0.9777638584403383, True,     False, False, True, True
1, 1, 0.9704069050554871, 0.989937106918239, 0.9800747198007472, True,     False, True, False, False
1, 1, 0.9993846153846154, 0.9957081545064378, 0.9975429975429976, True,     False, True, False, True
1, 1, 0.996790757381258, 0.9539312039312039, 0.9748901443816698, True,     False, True, True, False
1, 1, 0.928, 0.9729032258064516, 0.9499212598425196, True,     True, False, False, False
1, 1, 0.9993827160493827, 0.9926425505824648, 0.996001230390649, True,     True, False, False, True
1, 1, 0.9961587708066582, 0.9557739557739557, 0.9755485893416928, True,     True, False, True, False
1, 1, 0.9944375772558715, 0.9907635467980296, 0.9925971622455275, True,     True, True, False, False
1, 2, 0.9992313604919293, 0.9961685823754789, 0.9976976208749041, True,     False, False, False, True
1, 2, 0.988673139158576, 0.9443585780525502, 0.9660079051383399, True,     False, False, True, False
1, 2, 0.9991889699918897, 0.9440613026819923, 0.9708431836091409, True,     False, False, True, True
1, 2, 0.9815668202764977, 0.9945525291828794, 0.9880170081175106, True,     False, True, False, False
1, 2, 0.9992307692307693, 0.9954022988505747, 0.9973128598848369, True,     False, True, False, True
1, 2, 0.997564935064935, 0.9424846625766872, 0.969242902208202, True,     False, True, True, False
1, 2, 0.9192307692307692, 0.9747145187601958, 0.9461599366587491, True,     True, False, False, False
1, 2, 0.9992289899768697, 0.993103448275862, 0.9961568024596464, True,     True, False, False, True
1, 2, 0.9935064935064936, 0.9422632794457275, 0.9672066376926117, True,     True, False, True, False
1, 2, 0.9922958397534669, 0.99153194765204, 0.9919137466307278, True,     True, True, False, False
1, 3, 0.99375, 0.9799691833590138, 0.9868114817688131, True,     False, False, False, True
1, 3, 0.9866771159874608, 0.975968992248062, 0.9812938425565082, True,     False, False, True, False
1, 3, 0.9968203497615262, 0.9638739431206764, 0.9800703399765534, True,     False, False, True, True
1, 3, 0.9761721752498078, 0.9921875, 0.9841146842309182, True,     False, True, False, False
1, 3, 0.9968652037617555, 0.9777094542659492, 0.9871944121071012, True,     False, True, False, True
1, 3, 0.9921445404556166, 0.9752895752895753, 0.983644859813084, True,     False, True, True, False
1, 3, 0.8365310821181888, 0.9536307961504812, 0.8912510220768601, True,     True, False, False, False
1, 3, 0.9945184025058731, 0.9776751347190146, 0.9860248447204969, True,     True, False, False, True
1, 3, 0.9913522012578616, 0.9737451737451738, 0.9824698091156993, True,     True, False, True, False
1, 3, 0.989938080495356, 0.9891724671307038, 0.9895551257253384, True,     True, True, False, False
1, 4, 0.9971530249110321, 0.9985744832501782, 0.9978632478632479, True,     False, False, False, True
1, 4, 0.9881217520415738, 0.955491744436468, 0.9715328467153285, True,     False, False, True, False
1, 4, 0.997779422649889, 0.9607982893799002, 0.9789397240377632, True,     False, False, True, True
1, 4, 0.9807142857142858, 0.9906204906204906, 0.9856424982053122, True,     False, True, False, False
1, 4, 0.9978632478632479, 0.9985744832501782, 0.9982187388671179, True,     False, True, False, True
1, 4, 0.9940476190476191, 0.9549678341672623, 0.974115931461903, True,     False, True, True, False
1, 4, 0.8880969351389879, 0.9711613406079501, 0.9277736411020104, True,     True, False, False, False
1, 4, 0.9971469329529244, 0.9964362081254454, 0.9967914438502673, True,     True, False, False, True
1, 4, 0.9925650557620818, 0.9556191839656406, 0.9737417943107219, True,     True, False, True, False
1, 4, 0.9921146953405018, 0.9921146953405018, 0.9921146953405018, True,     True, True, False, False
1, 5, 0.989010989010989, 1.0, 0.994475138121547, True,     False, False, False, True
1, 5, 0.9846153846153847, 0.7111111111111111, 0.8258064516129032, True,     False, False, True, False
1, 5, 0.9848484848484849, 0.7222222222222222, 0.8333333333333333, True,     False, False, True, True
1, 5, 0.967032967032967, 0.9887640449438202, 0.9777777777777779, True,     False, True, False, False
1, 5, 0.989010989010989, 1.0, 0.994475138121547, True,     False, True, False, True
1, 5, 0.9696969696969697, 0.7111111111111111, 0.8205128205128205, True,     False, True, True, False
1, 5, 0.43410852713178294, 0.7887323943661971, 0.5599999999999999, True,     True, False, False, False
1, 5, 0.9886363636363636, 0.9666666666666667, 0.9775280898876404, True,     True, False, False, True
1, 5, 0.9696969696969697, 0.7111111111111111, 0.8205128205128205, True,     True, False, True, False
