fq,pc,prec,recall,f1_score,dimensions,count,pearson,rssi_base,time

simulazione_1

range 50
1, 1, 1.0, 0.9843367596671562, 0.992106561420819, True,     False, False, False,  True
1, 1, 0.9861111111111112, 0.9508928571428571, 0.968181818181818, True,     False, False, True,  False
1, 1, 1.0, 0.9432207537934411, 0.9707808564231738, True,     False, False, True, True
1, 1, 0.9379036264282166, 0.9843587069864442, 0.9605698295599084, True,     False, True, False, False
1, 1, 1.0, 0.9838472834067548, 0.9918578830495929, True,     False, True, False, True
1, 1, 0.9942648592283628, 0.9384842519685039, 0.9655696202531646, True,     False, True, True, False
1, 1, 0.845803842264914, 0.9626006904487917, 0.9004305705059203, True,     True, False, False, False
1, 1, 1.0, 0.9794419970631424, 0.9896142433234422, True,     True, False, False, True
1, 1, 0.9906976744186047, 0.9466666666666667, 0.9681818181818183, True,     True, False, True, False
1, 1, 0.9760598503740648, 0.9809523809523809, 0.9784999999999999, True,     True, True, False, False
1, 2, 1.0, 0.9860221316249272, 0.9929618768328446, True,     False, False, False, True
1, 2, 0.9832402234636871, 0.9372781065088758, 0.9597091790366555, True,     False, False, True, False
1, 2, 1.0, 0.9318578916715201, 0.964727163099186, True,     False, False, True, True
1, 2, 0.9736379613356766, 0.9940191387559809, 0.9837229949689257, True,     False, True, False, False
1, 2, 1.0, 0.9848573092603378, 0.9923708920187794, True,     False, True, False, True
1, 2, 0.9987515605493134, 0.9329446064139941, 0.964727163099186, True,     False, True, True, False
1, 2, 0.8332333533293341, 0.9652536483669215, 0.8943979394719896, True,     True, False, False, False
1, 2, 1.0, 0.9813628421665695, 0.9905937683715461, True,     True, False, False, True
1, 2, 0.9856608478802993, 0.9332939787485242, 0.9587628865979381, True,     True, False, True, False
1, 2, 0.9911608721272834, 0.9882491186839013, 0.9897028537805237, True,     True, True, False, False
1, 3, 0.9933211900425015, 0.958968347010551, 0.9758425290784372, True,     False, False, False, True
1, 3, 0.979951397326853, 0.9578384798099763, 0.9687687687687688, True,     False, False, True, False
1, 3, 1.0, 0.9347699475829936, 0.9662853702588802, True,     False, False, True, True
1, 3, 0.9635079458505003, 0.9891238670694864, 0.9761478831246273, True,     False, True, False, False
1, 3, 0.9993943064809206, 0.9615384615384616, 0.9801009801009801, True,     False, True, False, True
1, 3, 0.9932885906040269, 0.9542790152403282, 0.9733931240657698, True,     False, True, True, False
1, 3, 0.6989765201685731, 0.9539852095316351, 0.8068102849200834, True,     True, False, False, False
1, 3, 0.9945421467556095, 0.9601873536299765, 0.9770628537384569, True,     True, False, False, True
1, 3, 0.9896278218425869, 0.9541176470588235, 0.9715483677747829, True,     True, False, True, False
1, 3, 0.9905100830367735, 0.9817754262198707, 0.9861234130498967, True,     True, True, False, False
1, 4, 0.9966329966329966, 0.9812154696132597, 0.9888641425389756, True,     False, False, False, True
1, 4, 0.9186320754716981, 0.9284862932061978, 0.9235328986366331, True,     False, False, True, False
1, 4, 1.0, 0.9311674008810573, 0.964357000285144, True,     False, False, True, True
1, 4, 0.9203342618384401, 0.9874476987447699, 0.9527104959630911, True,     False, True, False, False
1, 4, 1.0, 0.9807268722466961, 0.9902696691687518, True,     False, True, False, True
1, 4, 0.9922526817640047, 0.9234608985024958, 0.9566216604424016, True,     False, True, True, False
1, 4, 0.7584624211130235, 0.9476702508960574, 0.8425748884639898, True,     True, False, False, False
1, 4, 0.9983089064261556, 0.9768339768339769, 0.9874546975188179, True,     True, False, False, True
1, 4, 0.9366863905325444, 0.9262726740784084, 0.9314504265960577, True,     True, False, True, False
1, 4, 0.9852774631936579, 0.9720670391061452, 0.9786276715410575, True,     True, True, False, False
1, 5, 1.0, 0.9880239520958084, 0.9939759036144578, True,     False, False, False, True
1, 5, 0.9554973821989529, 0.7541322314049587, 0.8429561200923787, True,     False, False, True, False
1, 5, 1.0, 0.7405189620758483, 0.8509174311926606, True,     False, False, True, True
1, 5, 0.971830985915493, 0.9917864476386037, 0.9817073170731707, True,     False, True, False, False
1, 5, 1.0, 0.9880239520958084, 0.9939759036144578, True,     False, True, False, True
1, 5, 0.9973045822102425, 0.74, 0.8495981630309988, True,     False, True, True, False
1, 5, 0.6559139784946236, 0.8944281524926686, 0.7568238213399504, True,     True, False, False, False
1, 5, 1.0, 0.9780439121756487, 0.9889001009081735, True,     True, False, False, True
1, 5, 0.9839142091152815, 0.7414141414141414, 0.8456221198156681, True,     True, False, True, False
1, 5, 0.9795501022494888, 0.9755600814663951, 0.9775510204081633, True,     True, True, False, False

10, 1, 0.9977790116601888, 0.8869693978282329, 0.9391168016723282, True,     False, False, False, True
10, 1, 0.9918740477399696, 0.9697120158887785, 0.9806678383128296, True,     False, False, True, False
10, 1, 1.0, 0.8724137931034482, 0.9318600368324126, True,     False, False, True, True
10, 1, 0.8770080321285141, 0.9787114845938375, 0.9250728091077575, True,     False, True, False, False
10, 1, 0.9988732394366198, 0.8742603550295858, 0.9324217722850382, True,     False, True, False, True
10, 1, 0.9902713773681515, 0.9617105917454003, 0.9757820383451059, True,     False, True, True, False
10, 1, 0.4542294322132097, 0.7205882352941176, 0.5572139303482586, True,     True, False, False, False
10, 1, 0.9974243399871217, 0.7645607107601184, 0.8656049175747416, True,     True, False, False, True
10, 1, 0.9551543389633081, 0.8397337429595494, 0.8937329700272479, True,     True, False, True, False
10, 1, 0.9451476793248945, 0.8086642599277978, 0.8715953307392996, True,     True, True, False, False
10, 2, 0.9812760055478502, 0.8402612826603325, 0.9053103007037747, True,     False, False, False, True
